Total Qty,Reg Qty,Foil Qty,Card,Set,Mana Cost,Card Type,Color,Rarity,Mvid,Single Price,Single Foil Price,Total Price,Price Source,Notes
1,1,0,Drana's Emissary,Battle for Zendikar,1WB,Creature  - Vampire Cleric Ally,Gold,Uncommon,401862,,,,cardshark,
1,1,0,Forerunner of Slaughter,Battle for Zendikar,BR,Creature  - Eldrazi Drone,Gold,Uncommon,401881,,,,cardshark,
1,1,0,Maverick Thopterist,Duel Decks: Elves vs. Inventors,3UR,Creature  - Human Artificer,Gold,Uncommon,442786,,,,cardshark,
1,1,0,Reclusive Artificer,Duel Decks: Elves vs. Inventors,2UR,Creature  - Human Artificer,Gold,Uncommon,442787,,,,cardshark,
